0,1,2,3,4,5,6,7,8
160504000012026NC400299,160072,11. DEPOSITO DE SUPRIMENTO,339030,MATERIAL DE CONSUMO,E6SUSOLSOLE,"(046399-NU / DPE)C SUP-DIV SUBS-SOL-DPS DE ALIMENTACAO EM CERIMONIAL MILITAR. OBSERVAR O BT30.410-01. (AQS GEN ALMT P/ RECEPCAO DOS NOVOS INTEGRANTES DA DIRETORIA) REF: DIEX Nº 224-DPE/DEC, DE 14JAN26. EMPH ATE 48H. PRB DETAORC.",,8000.0
160504000012026NC400300,160089,SECRETARIA DE ECONOMIA E FINANCAS,339039,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA,E6SUSOLSOLE,"(016139-C C I EX)C SUP-DIV SUBS-SOL-DPS DE ALIMENTACAO EM CERIMONIAL MILITAR. OBSERVAR O BT30.410-01. (SV FORN ALMT P/ 44º ANIVERSARIO DE CCIEX) REF: DIEX Nº 45-SEC LOG/CCIEX, DE 15JAN26. EMPH ATE 48H. PRB DETAORC.",,23250.0
160504000012026NC400301,160238,BASE DE APOIO LOGISTICO DO EXERCITO,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR," (012369-BA AP LOG EX) C SUP -DIVSUBS-SOL-DIARIAS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (1ª RECOL SUP/26 ) REF DIEX Nº 663-CSUP/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",,3300.0
160504000012026NC400302,160238,BASE DE APOIO LOGISTICO DO EXERCITO,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR," (012369-BA AP LOG EX) C SUP -DIVSUBS-SOL-DIARIAS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (1ª RECOL SUP/26 - CH C COL) REF DIEX Nº 663-CSUP/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",,2805.0
160504000012026NC400303,160307,1º DEPOSITO DE SUPRIMENTO,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR," (040584-1º D SUP) C SUP -DIVSUBS-SOL-DIARIAS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (1ª RECOL SUP/26 ) REF DIEX Nº 663-CSUP/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",,2805.0
160504000012026NC400304,160494,2º BATALHAO DE SUPRIMENTO,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR," (040923-2º B SUP) C SUP -DIVSUBS-SOL-DIARIAS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (1ª RECOL SUP/26 ) REF DIEX Nº 663-CSUP/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",,2805.0
160504000012026NC400305,160368,3 BATALHAO DE SUPRIMENTO,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR," (012955-3º B SUP) C SUP -DIVSUBS-SOL-DIARIAS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (1ª RECOL SUP/26 ) REF DIEX Nº 663-CSUP/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",,2805.0
160504000012026NC400306,160120,4. DEPOSITO DE SUPRIMENTO,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR," (040642-4º D SUP) C SUP -DIVSUBS-SOL-DIARIAS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (1ª RECOL SUP/26 ) REF DIEX Nº 663-CSUP/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",,2805.0
160504000012026NC400307,160222,5. BATALHAO DE SUPRIMENTO,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR," (012963-5º B SUP) C SUP -DIVSUBS-SOL-DIARIAS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (1ª RECOL SUP/26 ) REF DIEX Nº 663-CSUP/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",,2805.0
160504000012026NC400308,160038,6º DEPOSITO DE SUPRIMENTO,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR," (040667-6º D SUP) C SUP -DIVSUBS-SOL-DIARIAS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (1ª RECOL SUP/26 ) REF DIEX Nº 663-CSUP/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",,2805.0
160504000012026NC400309,160198,7º DEPOSITO DE SUPRIMENTO,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR," (040675-7º D SUP) C SUP -DIVSUBS-SOL-DIARIAS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (1ª RECOL SUP/26 ) REF DIEX Nº 663-CSUP/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",,2805.0
160504000012026NC400310,160165,8º BATALHAO DE SUPRIMENTO DE SELVA,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR," (040691-8º B SUP SL) C SUP -DIVSUBS-SOL-DIARIAS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (1ª RECOL SUP/26 ) REF DIEX Nº 663-CSUP/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",,2805.0
160504000012026NC400311,160142,9.BATALHAO DE SUPRIMENTO,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR," (012989-9º B SUP) C SUP -DIVSUBS-SOL-DIARIAS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (1ª RECOL SUP/26 ) REF DIEX Nº 663-CSUP/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",,2805.0
160504000012026NC400312,160049,10º DEPOSITO DE SUPRIMENTO,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR," (040709-10º D SUP) C SUP -DIVSUBS-SOL-DIARIAS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (1ª RECOL SUP/26 ) REF DIEX Nº 663-CSUP/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",,2805.0
160504000012026NC400313,160018,12. BATALHAO DE SUPRIMENTO,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR," (012997-12º B SUP) C SUP -DIVSUBS-SOL-DIARIAS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (1ª RECOL SUP/26 ) REF DIEX Nº 663-CSUP/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",,2805.0
160504000012026NC400314,160426,DEPOSITO DE SUBSISTENCIA SANTO ANGELO,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR," (044461-DSSA) C SUP -DIVSUBS-SOL-DIARIAS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (1ª RECOL SUP/26 ) REF DIEX Nº 663-CSUP/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",,2805.0
160504000012026NC400315,160415,DEPOSITO DE SUBSISTENCIA SANTA MARIA,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR," (044453-DSSM) C SUP -DIVSUBS-SOL-DIARIAS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (1ª RECOL SUP/26 ) REF DIEX Nº 663-CSUP/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",,2805.0
160504000012026NC400316,160537,COMANDO DA 16A BRIGADA DE INFANTARIA DE SELVA,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR," (001172-16ª BA LOG) C SUP -DIVSUBS-SOL-DIARIAS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (1ª RECOL SUP/26 ) REF DIEX Nº 663-CSUP/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",,2805.0
160504000012026NC400317,160350,17º BATALHAO LOGISTICO DE SELVA,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR," (012377-17º B LOG SL) C SUP -DIVSUBS-SOL-DIARIAS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (1ª RECOL SUP/26 ) REF DIEX Nº 663-CSUP/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",,2805.0
160504000012026NC400318,160482,COMANDO/1A BRIGADA DE INFANTARIA DE SELVA,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR," (012328-1º B LOG SL) C SUP -DIVSUBS-SOL-DIARIAS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (1ª RECOL SUP/26 ) REF DIEX Nº 663-CSUP/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",,2805.0
160504000012026NC400319,160246,DEPOSITO CENTRAL DE MUNICAO,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR," (040535-DC MUN) C SUP -DIVSUBS-SOL-DIARIAS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (1ª RECOL SUP/26 ) REF DIEX Nº 663-CSUP/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",,2805.0
160504000012026NC400320,160298,COMANDO DA 1 REGIAO MILITAR,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR," (023176-CMDO 1ª RM) C SUP -DIVSUBS-SOL-DIARIAS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (1ª RECOL SUP/26 ) REF DIEX Nº 663-CSUP/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",,2805.0
160504000012026NC400321,160488,COMANDO DA 2  REGIAO MILITAR,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR," (023572-CMDO 2ª RM) C SUP -DIVSUBS-SOL-DIARIAS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (1ª RECOL SUP/26 ) REF DIEX Nº 663-CSUP/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",,2805.0
160504000012026NC400322,160392,COMANDO DA 3ª REGIAO MILITAR,339015,DIARIAS - PESSOAL MILITAR,E6SUSOLDIAR," (012286-CMDO 3º GPT LOG) C SUP -DIVSUBS-SOL-DIARIAS DE PESSOAL MILITAR. OBSERVAR LEGISLACAO VIGENTE (1ª RECOL SUP/26 ) REF DIEX Nº 663-CSUP/COLOG, DE 16/01/26. EMPH IMEDIATO. PRB DETAORC .",,2805.0
