0,1,2,3,4,5,6,7,8
160504000012026NC400547,160530,BASE DE ADMINISTRACAO E APOIO DO CMO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(001321-BA ADM AP / CMO)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (ANIVERSARIO DA B ADM AP CMO) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,4000.0
160504000012026NC400548,160530,BASE DE ADMINISTRACAO E APOIO DO CMO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(001321-BA ADM AP / CMO)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (DIA DOS PEACEKEEPERS) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,2500.0
160504000012026NC400549,160530,BASE DE ADMINISTRACAO E APOIO DO CMO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(001313-3º B AV EX)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (ANIVERSARIO DO 3º B AV EX) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,4000.0
160504000012026NC400550,160530,BASE DE ADMINISTRACAO E APOIO DO CMO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(001313-3º B AV EX)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (CERIMONIAL MILITAR PASA 3º COLOCADO) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,3000.0
160504000012026NC400551,160530,BASE DE ADMINISTRACAO E APOIO DO CMO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(007369-6º BIM)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (ANIVERSARIO DO 6º BIM) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,4000.0
160504000012026NC400552,160530,BASE DE ADMINISTRACAO E APOIO DO CMO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(002071-9º B COM GE)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (ANIVERSARIO DO 9º B COM GE) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,4000.0
160504000012026NC400559,160530,BASE DE ADMINISTRACAO E APOIO DO CMO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(002071-9º B COM GE)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (DIA DAS COMUNICACOES) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,3500.0
160504000012026NC400560,160530,BASE DE ADMINISTRACAO E APOIO DO CMO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(015370-6º CTA)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (ANIVERSARIO DO 6º CTA) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,4000.0
160504000012026NC400561,160530,BASE DE ADMINISTRACAO E APOIO DO CMO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(065490-9º BPE)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (ANIVERSARIO DO 9º BPE) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,4000.0
160504000012026NC400562,160530,BASE DE ADMINISTRACAO E APOIO DO CMO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(065490-9º BPE)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (DIA DA INFANTARIA) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,3500.0
160504000012026NC400563,160530,BASE DE ADMINISTRACAO E APOIO DO CMO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(014605-CI BETIONE)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (ANIVERSARIO DO CAMPO DE INSTRUCAO BETIONE) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,4000.0
160504000012026NC400564,160530,BASE DE ADMINISTRACAO E APOIO DO CMO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(025213-CMDO 9ª RM)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (ANIVERSARIO DA 9ª RM) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,4000.0
160504000012026NC400565,160530,BASE DE ADMINISTRACAO E APOIO DO CMO,339030,MATERIAL DE CONSUMO,E6SUPLJA3RR,"(025213-CMDO 9ª RM)C SUP-DIV SUBS-PLJ-RES REG DSP ORDINARIA. OBS REGRAS DO BT30.411-01. (DIA DO SAREX) REF: DIEX Nº 456-SEC SUP/CCOL/CMDO 9º GPT LOG, DE 22JAN26. EMPH ATE 30 DIAS. PRB DETAORC.",,2500.0
