OM,CODOM,CODUG,SIGLA_UG
Cmdo 1ª RM,23176,160298,Cmdo 1ª RM
Cmdo 1º Gpt E,23093,160176,Cmdo 1º Gpt E
Cmdo 22ª Bda Inf Sl,24646,160026,Cmdo 22ª Bda Inf SI
Cmdo 23ª Bda Inf SI,24885,160170,Cmdo 23ª Bda Inf SI
Cmdo 2ª Bda C Mec,23200,160438,Cmdo 2ª Bda C Mec
Cmdo 2ª Bda Inf Sl,24752,160515,Cmdo 2ª Bda Inf Sl
Cmdo 2ª DE,23408,160457,Ba Adm Ap / Ibirapuera
Cmdo 2ª RM,23572,160488,Cmdo 2ª RM
Cmdo 2º Gpt E,23465,160015,Cmdo 2º Gpt E
Cmdo 3ª Bda C Mec,23606,160364,Cmdo 3ª Bda C Mec
Cmdo 3ª Bda Inf Mtz,23739,160100,Cmdo 3ª Bda Inf Mtz
Cmdo 3ª DE,23804,160413,Ba Adm / Gu SM
Cmdo 3ª RM,23879,160392,Cmdo 3ª RM
Cmdo 3º Gpt E,23598,160530,Ba Adm Ap / CMO
Cmdo 3º Gpt Log,12286,160392,Cmdo 3ª RM
Cmdo 4ª Bda C Mec,23887,160149,Cmdo 4ª Bda C Mec
Cmdo 4ª Bda Inf L Mth,24778,160111,Cmdo 4ª Bda Inf L Mth
Cmdo 4ª RM,24927,160118,Cmdo 4ª RM
Cmdo 4º Gpt E,23614,160395,Cmdo CMS
Cmdo 5ª Bda C Bld,24018,160233,Cmdo 5ª Bda C Bld
Cmdo 5ª DE,25005,160192,Ba Adm Ap / 5ª RM
Cmdo 5ª RM,24992,160219,Cmdo 5ª RM
Cmdo 5º Gpt E,23622,160282,Cmdo 5º Gpt E
Cmdo 6ª Bda Inf Bld,24208,160414,Cmdo 6ª Bda Inf Bld
Cmdo 6ª DE,25023,160392,Cmdo 3ª RM
Cmdo 6ª RM,24372,160036,Cmdo 6ª RM
Cmdo 7ª DE,24422,160195,Cmdo CMNE
Cmdo 7ª RM,25098,160194,Cmdo 7ª RM
Cmdo 8ª Bda Inf Mtz,24505,160380,Cmdo 8ª Bda Inf Mtz
Cmdo 8ª RM,25148,160163,Cmdo 8ª RM
Cmdo 9ª RM,25213,160140,Cmdo 9ª RM
Cmdo 9º Gpt Log,12294,160136,Cmdo 9º Gpt Log
Cmdo AD/1,21113,160244,Cmdo AD/1
Cmdo AD/3,21303,160372,Cmdo AD/3
Cmdo AD/5,21501,160192,Ba Adm Ap / 5ª RM
Cmdo Art Ex,21576,160479,Cmdo Art Ex
Cmdo Bda Inf Pqdt,24356,160296,Ba Adm / Bda Inf Pqdt
Cmdo CCom G Ex,33035,160528,Ba Adm / CCOMGEx
Cmdo CMA,22756,160016,Cmdo CMA
Cmdo CML,23499,160299,Cmdo CML
Cmdo CMN,23457,160196,Ba Adm Ap / CMN
Cmdo CMNE,23515,160195,Cmdo CMNE
Cmdo CMO,23580,160530,Ba Adm Ap / CMO
