OM,CODOM,CODUG,SIGLA_UG
28º BIL,7310,160466,Cmdo 11ª Bda Inf Mec
28º GAC,57315,160441,28º GAC
29º BIB,7203,160126,11º BI Mth
29º GAC AP,57406,160371,29º GAC AP
2ª Bia AAAe,13011,160262,1º RCC
2ª Cia Com L,32086,160466,Cmdo 11ª Bda Inf Mec
2ª Cia Com Mec,31229,,
2ª Cia E Cmb Mec,34868,160356,12º BE Cmb Bld
2ª Cia Fron,35303,160153,2ª Cia Fron
2ª Cia Inf,36236,160236,2ª Cia Inf
2ª Cia Intlg,32938,160299,Cmdo CML
2ª Cia Trnp,36582,160494,2º B Sup
2ª Cia/2º B Sup,40923,,
2º B Av Ex,1271,160022,21ª Cia E Cnst
2º B Com GE Sl,10108,160177,71º BI Mtz
2º B Fv,4515,160088,HMAB
2º B Log,12237,160216,5º Esqd C Mec
2º B Log L,12237,160463,2º B Log L
2º B Log Sl,12344,160226,34º BI Mec
2º B Sup,40923,160494,2º B Sup
2º BE Cmb,2501,160060,BPEB
2º BEC,3400,160069,COEx/UG
2º BI Mtz (Es),9506,160167,53º BIS
2º BIL,7286,160132,9º BE Cmb
2º BIS,10108,160176,Cmdo 1º Gpt E
2º BPE,12716,160246,DC Mun
2º CGCFEx,62174,160486,3º CTA
2º CGEO,15685,160351,H Gu Porto Velho
2º CTA,15339,160318,EsSLog
2º GAAAe,55426,160473,2º GAAAe
2º GAC,58321,,
2º GAC L,58321,160469,2º GAC
2º Pel Com Sl,65375,160515,Cmdo 2ª Bda Inf Sl
2º Pel PE Mec,65854,160438,Cmdo 2ª Bda C Mec
2º RC Gd,70037,160270,2º RC Gd
2º RC Mec,70300,160428,2º RC Mec
2º RCGd,70037,,
30º BI Mec,8318,160150,4ª Cia E Cmb Mec
31º BI Mtz,8417,160152,11º RC Mec
31º GAC (Es),57703,160277,31º GAC (Es)
32º BIL Mth,8474,160153,2ª Cia Fron
32º GAC,57604,160058,32º GAC
32º Pel PE,65722,160482,Cmdo 1ª Bda Inf SI
33º BI Mec,8490,160155,Cmdo Fron-Jauru/66º BI Mtz
33º Pel PE,65565,160170,Cmdo 23ª Bda Inf SI
